nombre,descripcion,m2_construidos,m2_totales,cantidad_estacionamientos,cantidad_habitaciones,cantidad_banos,direccion,comuna_id,tipo_inmueble,precio_arriendo,disponible,propietario_id,arrendatario_id,solicitudes
Casa de Playa,Hermosa casa con vista al mar,200.5,500.0,2,4,3,Calle del Mar 123,1,casa,1500000,True,12345678,23456789,[{"solicitud_id": 1, "estado": "pendiente"}]
Departamento Centro,Moderno departamento en el centro de la ciudad,85.0,100.0,1,3,2,Av. Principal 456,2,departamento,750000,True,23456789,34567890,[{"solicitud_id": 2, "estado": "aprobada"}]
Parcela de Descanso,Amplia parcela ideal para descanso,300.0,1500.0,3,5,4,Camino Verde 789,3,parcela,1200000,False,34567890,45678901,[{"solicitud_id": 3, "estado": "rechazada"}]
Casa Familiar,Casa espaciosa para familia,150.0,300.0,2,3,2,Calle Familiar 101,4,casa,1000000,True,45678901,56789012,[{"solicitud_id": 4, "estado": "pendiente"}]
Departamento Moderno,Departamento con diseño moderno,95.0,120.0,1,2,1,Av. Moderna 202,5,departamento,800000,False,56789012,67890123,[{"solicitud_id": 5, "estado": "aprobada"}]
Casa Campestre,Encantadora casa en el campo,180.0,600.0,2,4,3,Camino Rural 303,6,casa,1100000,True,67890123,78901234,[{"solicitud_id": 6, "estado": "pendiente"}]
Departamento Nuevo,Departamento nuevo a estrenar,100.0,110.0,1,2,2,Av. Nueva 404,7,departamento,850000,True,78901234,89012345,[{"solicitud_id": 7, "estado": "pendiente"}]
Parcela Amplia,Gran parcela con mucho potencial,400.0,2000.0,4,6,5,Camino Ancho 505,8,parcela,1300000,True,89012345,90123456,[{"solicitud_id": 8, "estado": "rechazada"}]
Casa de Ciudad,Casa bien ubicada en la ciudad,140.0,280.0,1,3,2,Calle Urbana 606,9,casa,950000,True,90123456,12345679,[{"solicitud_id": 9, "estado": "pendiente"}]
Departamento Espacioso,Departamento con amplios espacios,120.0,140.0,2,3,2,Av. Espaciosa 707,10,departamento,900000,False,12345679,12345678,[{"solicitud_id": 10, "estado": "aprobada"}]
